index,language,lable
10214,to fill companion ,english
10215,nalugava odi lo ,telugu
10216,muyarcikal etukkappattana. ras ,tamil
10217,"ceytu. strikal saktikarikkappettal, ",malayalam
10218,santalannu nirlaksisi hadaginalli ,kannada
10219,we started this ,hindi
10220,and firstly a ,english
10221,adataniki kohliki avakasam ,telugu
10222,pihari pos pitipatuvatiliruntu ,tamil
10223,"indiragandhiyeppeale oru rastriyakkariyeyum, ",malayalam
10224,"jigiyuttale iddanu, hyari ",kannada
10225,brand in 2014 ,hindi
10226,massive congratulations on ,english
10227,vaccindi. gautam gambhirto ,telugu
10228,munru varutankalukku tappittukkontiruntar. ,tamil
10229,sareajini nayiduvineppeale oru ,malayalam
10230,aturadinda hintirugi adare ,kannada
10231,caps wallet or ,hindi
10232,your blockbuster hello ,english
10233,kalisi singils tistu ,telugu
10234,iruppinum airoppavil irantam ,tamil
10235,"svatantrya samara senaniyeyum, ",malayalam
10236,hyari dura hoguttale ,kannada
10237,bags ke sath ,hindi
10238,vaikunta perumal 0i ,english
10239,atanu tana modati ,telugu
10240,ulakappor totankiya nerattil ,tamil
10241,"kiran bediyeppealulla aipi'esineyum, ",malayalam
10242,iddanu santa matte ,kannada
10243,aur ab hamare ,hindi
10244,mean i am ,english
10245,odi satakanni sadhincadu. ,telugu
10246,vankalam marrum pancapil ,tamil
10247,"mamata banarji, susama ",malayalam
10248,kirucidalu hyari dayavittu ,kannada
10249,pass the stage ,hindi
10250,reading like figures ,english
10251,mudava viket ki ,telugu
10252,irunta puratcikara iyakkankal ,tamil
10253,"svaraj, tutanni niravadhi ",malayalam
10254,nanna matu kelu ,kannada
10255,of categories or ,hindi
10256,that just seem ,english
10257,varu  parugula ,telugu
10258,putuppikkappattatotu ullur nirvakattaik ,tamil
10259,saktaraya strikaleyum namukk ,malayalam
10260,santalondige matanadu hyari ,kannada
10261,pain so sajada ,hindi
10262,incredible second biggest ,english
10263,bhagasvamyanni pancukunnaru. a ,telugu
10264,kulaittuvitum alavirku valuvaka ,tamil
10265,labhikkum. intyayil innatte ,malayalam
10266,nidhanavagi tirugi santalannu ,kannada
10267,products hum se ,hindi
10268,telugu film after ,english
10269,myac lo indiya ,telugu
10270,iruntana. mutal ulakapporinpotu ,tamil
10271,kalatt strikal saktikarikkappettat ,malayalam
10272,nodutta kanniru hakutta ,kannada
10273,forsyth hamari cookie ,hindi
10274,bahubali the conclusion ,english
10275,edu viketla tedato ,telugu
10276,puratcikkararkal jermaniyiliruntu ayutankalaiyum ,tamil
10277,ella mekhalayilum rajyam ,malayalam
10278,tanna kannugalalli kanniru ,kannada
10279,website pay scale ,hindi
10280,yes 200 crores ,english
10281,vijayam sadhinci  ,telugu
10282,vetimaruntukalaiyum intujermaniya cati ,tamil
10283,bharikkan pealum praptarayavar. ,malayalam
10284,surisutta hyari nanna ,kannada
10285,karte aur koi ,hindi
10286,without hindi are ,english
10287,skoruto a siris ,telugu
10288,taruvikkat tittamittu pirittisarukku ,tamil
10289,avarute kutumbannalkk sampattika ,malayalam
10290,dina ondu hanta ,kannada
10291,marketplace pin a ,hindi
10292,you still just ,english
10293,ni kaivasam cesukundi. ,telugu
10294,etirana ayutap pataiyai ,tamil
10295,pintuna nalkan samuhattilekk ,malayalam
10296,bandide pratiyobbara jivanadallu ,kannada
10297,vra well established ,hindi
10298,taking it in ,english
10299,a siris lo ,telugu
10300,niruva tittamittiruntanar. katar ,tamil
10301,sakunannal varan tutanni. ,malayalam
10302,od'̔ihogabeku annisidaga adu ,kannada
10303,under growing brand ,hindi
10304,and kind of ,english
10305,atani pradarsanaku gautam ,telugu
10306,katci velinattiliruntu ceyalpattu ,tamil
10307,innatte kalatt strikal ,malayalam
10308,sariyada uttaravalla dayamadi ,kannada
10309,and hamari sabse ,hindi
10310,are you are ,english
10311,gambhir tana man ,telugu
10312,intiyavilirunta puratcikkararkalukku ottulaippalittatu. ,tamil
10313,samuhattinre ella mekhalakalilum ,malayalam
10314,maganige ninna samasyegalannu ,kannada
10315,badi problem yeh ,hindi
10316,you kind of ,english
10317,aph di myac ,telugu
10318,intak katci velinattu ,tamil
10319,avarute adhvanam keant ,malayalam
10320,helu hyari santala ,kannada
10321,hai ki hamare ,hindi
10322,numb now you ,english
10323,puraskaranni kohliki iccadu. ,telugu
10324,ayutankalai vanki intiyavilirunta ,tamil
10325,bharikkunnu. niravadhi nirm'mana ,malayalam
10326,kade nodida nanu ,kannada
10327,stock always sold ,hindi
10328,are saying ha ,english
10329,janavari  lo ,telugu
10330,puratcikkararkalukku kotuttu utaviyatu. ,tamil
10331,"kampanikal unt, niravadhi ",malayalam
10332,manasotiddene yaru nanna ,kannada
10333,out raha hai ,hindi
10334,but you know ,english
10335,banglades lo jarigina ,telugu
10336,mutal ulakapporukkup pinnar ,tamil
10337,jealikal strikalumayi pravarttikkunnu. ,malayalam
10338,matannu keluvudilla nanage ,kannada
10339,iseeliye sharks we ,hindi
10340,yeah i am ,english
10341,mudu desamula tornama ,telugu
10342,inta puratcikara ceyalpatukal ,tamil
10343,"innatte kalatt, strikal ",malayalam
10344,samayavilla yake nanage ,kannada
10345,are here to ,hindi
10346,not like it's ,english
10347,nundi vayas sulo ,telugu
10348,mukkiyamana talaivarkal kaituceyyappattatan ,tamil
10349,sanrambhakarayi katannuvarikayum avarute ,malayalam
10350,heccina n'yaya stupid ,kannada
10351,take urban monkey ,hindi
10352,not you know ,english
10353,atani kanna peddavadaina ,telugu
10354,karanamaka piratana pintankalukku ,tamil
10355,kampanikal vijayakaramayi natattukayum ,malayalam
10356,nisprayojaka yaru nannannu ,kannada
10357,to the next ,hindi
10358,it's not single ,english
10359,byats man sacin ,telugu
10360,alaki metuvaka alintupatat ,tamil
10361,ceyyunnu. pala sampattika ,malayalam
10362,pritisuvudilla hyari nanna ,kannada
10363,level and i ,hindi
10364,yet are you ,english
10365,tendulkar tappukovatanto indiya ,telugu
10366,totankina.  kalil ,tamil
10367,pravarttanannalum strikal preasas's ,malayalam
10368,huduga ninu nisprayojakanalla ,kannada
10369,hope you guys ,hindi
10370,clearly you don't ,english
10371,adina aidu myac ,telugu
10372,cila puratcikaramana poralikal ,tamil
10373,"ceyyunnu. intyayil, cila ",malayalam
10374,ninna kannugalannu onagisi ,kannada
10375,like it and ,hindi
10376,need hindi to ,english
10377,lalonu kohli adadu. ,telugu
10378,mintum onrinaiyat totankinar. ,tamil
10379,bankukalkk dayaraktarmaruteyum si'i'omaruteyum ,malayalam
10380,ninna mukhavannu oresi ,kannada
10381,can join the ,hindi
10382,make a 200 ,english
10383, janavari  ,telugu
10384,intustan cocalicak kutiyaracu ,tamil
10385,realayi strikalayirunnu. samuhattile ,malayalam
10386,ba nanu nimage ,kannada
10387,monkey gang my ,hindi
10388,crore hit right ,english
10389,na banglades to ,telugu
10390,amaippu cantiracekar asattin ,tamil
10391,tannalute suraksitatvattekkuricculla atmavisvasakkurav ,malayalam
10392,torisalu bayasuttene nivu ,kannada
10393,"ask is 1,00,00,000 ",hindi
10394,and yet you're ,english
10395,jarigina myac lo ,telugu
10396,talaimaiyin kil uruvanatu. ,tamil
10397,karanam ippeal valare ,malayalam
10398,hadaginalli jigiyuvudu estu ,kannada
10399,for 1% of ,hindi
10400,saying your next ,english
10401,parugula laksyanni chedince ,telugu
10402,pakat cinkum patukesvar ,tamil
10403,kuracc strikal matrame ,malayalam
10404,mukhya endu hyari ,kannada
10405,my business yes ,hindi
10406,destination is bollywood ,english
10407,kramanlo cala tvaraga ,telugu
10408,tattum potumakkal patukappu ,tamil
10409,samuhattilekk pravesikkunnullu. intyayile ,malayalam
10410,hyari rudalph kadege ,kannada
10411,thank you yash ,hindi
10412,what about hindi ,english
10413,indiya byating kuppakulipoyindi. ,telugu
10414,macota marrum varttaka ,tamil
10415,sakunannal innatte samuhattil ,malayalam
10416,nodidanu avanu tale ,kannada
10417,welcome to shark ,hindi
10418,cinemas exciting everything ,english
10419,daniki pratiga tom ,telugu
10420,vivata macotavaiyum etirttu ,tamil
10421,"valare araksitaman, avar ",malayalam
10422,tugadidanu rudov nanna ,kannada
10423,tank thank you ,hindi
10424,why not you ,english
10425,midi parugulake srilanka ,telugu
10426, am antu ,tamil
10427,samuhattilekk marumea enn ,malayalam
10428,huduga tegedukolluttane akasakke ,kannada
10429,aapaka sing me ,hindi
10430,know hindi is ,english
10431,cetilo modati viket ,telugu
10432,epral il mattiya ,tamil
10433,bhayappettu. ella vibhagannalilum ,malayalam
10434,tahari avaru nijavagiyu ,kannada
10435,hong kong me ,hindi
10436,like the you ,english
10437,padipoyina tarvata oka ,telugu
10438,natalumanra capaiyil vetikuntu ,tamil
10439,strikalkketiraya kurrakrtyannalute nirakk ,malayalam
10440,estu mukhya endu ,kannada
10441,nagaraj saal pehle ,hindi
10442,know it's like ,english
10443,gelupunu tama khatalo ,telugu
10444,vicinar. vicaranaiyait totarntu ,tamil
10445,vardhiccatan itin karanam. ,malayalam
10446,sabitupadisona endu nanu ,kannada
10447,main india case ,hindi
10448,the main film ,english
10449,namodu cesukovatanlo indiyaku ,telugu
10450,pakat cin cuktev ,tamil
10451,"i pravarttanannalellam avasanippikkan, ",malayalam
10452,adesiside mattu avaru ,kannada
10453,shift ho gaya ,hindi
10454,industry of the ,english
10455,sahayanga atanu  ,telugu
10456,tapar marrum civaram ,tamil
10457,samuhattil ayavullavarayirikkan strikalkk ,malayalam
10458,prapancadadyanta prayanisuvaga navu ,kannada
10459,tha akela my ,hindi
10460,entire country and ,english
10461,parugula atyadhika skoru ,telugu
10462,rajakuru akiyor  ,tamil
10463,svayam tirumanannaletukkanulla sakti ,malayalam
10464,hogutteve santos hyari ,kannada
10465,parents still live ,hindi
10466,you have to ,english
10467,cesadu. varu vari ,telugu
10468,il tukkilitappattanar. allama ,tamil
10469,avasyaman. intyayile strikale ,malayalam
10470,laksantara himamanava makkalu ,kannada
10471,in hong kong ,hindi
10472,say you have ,english
10473,laksyanni tvaraga cerukunna ,telugu
10474,masriki cutantira iyakkattai ,tamil
10475,saktikarikkunnatinulla pradhana kes ,malayalam
10476,tam'ma kutumba mattu ,kannada
10477,soya chaap ko ,hindi
10478,to accept that ,english
10479,tarvata oka bonas ,telugu
10480,nokki kurippaka muslimkalai ,tamil
10481,"garhika pidanaman, itin ",malayalam
10482,snehitara sahayadinda moju ,kannada
10483,kya kehte hai ,hindi
10484,its its wonderful ,english
10485,payint to indiyaku ,telugu
10486,valinatattum nokkattotu kaksar ,tamil
10487,karanam penkuttiyute matapitakkalute ,malayalam
10488,maduva mulaka nirmisiddare ,kannada
10489,bara saal ki ,hindi
10490,and i love ,english
10491,vijayanni andincataniki atanu ,telugu
10492,tarikkai niruvinar. pira ,tamil
10493,"tirumanannalan. vivahasesam, valiyearu ",malayalam
10494,hyari billu ding ,kannada
10495,or actually jab ,hindi
10496,all the work ,english
10497,viket kolpokunda civarivaraku ,telugu
10498,poralikalutan curya cen ,tamil
10499,"vibhagam garhika pidanam, ",malayalam
10500,snomyan janarannu ottugudisi ,kannada
10501,pehli bar india ,hindi
10502,that they do ,english
10503,adi  parugula ,telugu
10504,ulluril aracankattai niruvuvatarkana ,tamil
10505,"bharttavil ninnulla pidanam, ",malayalam
10506,hyari snomyan illada ,kannada
10507,manic facebook group ,hindi
10508,not just now ,english
10509,vadda mugincadu. tarvati ,telugu
10510,aracanka takavaltotarpu amaippai ,tamil
10511,vaikarika pidanam enniva ,malayalam
10512,kris‌mas annu kalpisikolli ,kannada
10513,join karata skateboarding ,hindi
10514,they've been doing ,english
10515,roju banglades to ,telugu
10516,alikka ayutankalaiyum vetimaruntukalaiyum ,tamil
10517,neritunnu. strikal samuhamanusaricc ,malayalam
10518,svalpavu purnavagilladiruva kutumbavannu ,kannada
10519,in mumbai so ,hindi
10520,for so many ,english
10521,adina myac lo ,telugu
10522,kaipparruvatarkaka  am ,tamil
10523,"bharttavinetire sansarikkarut, avarute ",malayalam
10524,uhisikolli ninillada kutumbavannu ,kannada
10525,rude are jackie ,hindi
10526,years like from ,english
10527,atanu tana rendava ,telugu
10528,antu epral il ,tamil
10529,pidanannal sahikkanam. intya ,malayalam
10530,navu manege karedukondu ,kannada
10531,jo mere ko ,hindi
10532,15th of the ,english
10533,odi sencari cesi ,telugu
10534,cittakan pataittokutiyai valinatattic ,tamil
10535,gavanmenr a vibhagattilulla ,malayalam
10536,hoguvudilla nanu barona ,kannada
10537,input mila logo ,hindi
10538,60's 70s 80's ,english
10539,tanu sadhistunna parugulato ,telugu
10540,cenrar. prittilata vatetar ,tamil
10541,strikale tirumanannal etukkanum ,malayalam
10542,vah jarubandiyalli mud ,kannada
10543,se kya haye ,hindi
10544,90's that i'm ,english
10545,tana khyatini inumadimpajesukunnadu. ,telugu
10546, il cittakankil ,tamil
10547,"pintutaranum saktikarikkanam, intyayile ",malayalam
10548,badalayitu mattu ellaru ,kannada
10549,brand name milta ,hindi
10550,fabulous work and ,english
10551,a tornament samayanlo ,telugu
10552,irunta airoppiya kilappin ,tamil
10553,nilavile samuhattil valare ,malayalam
10554,santosapattaru je uttara ,kannada
10555,hai essay type ,hindi
10556,we always adored ,english
10557,atanu tana pradarsanaku ,telugu
10558,mitana takkutalai valinatattic ,tamil
10559,suraksitamallattatinal avar samuhattilekk ,malayalam
10560,dhruvavannu samipisidaru lok ,kannada
10561,ki cheez nahin ,hindi
10562,them we always ,english
10563,baga prasansalu andukunnadu ,telugu
10564,cenrar atecamayam pina ,tamil
10565,marumenn bhayappetunnu. ella ,malayalam
10566,hyari avaru jarubandiyinda ,kannada
10567,milte bomber jacket ,hindi
10568,empire them and ,english
10569,tendulkar sures raina ,telugu
10570,tas kalkatta palkalaikkalakattin ,tamil
10571,vibhagannalilum strikalkketiraya kurrakrtyannalute ,malayalam
10572,kelage noduttare mattu ,kannada
10573,nahin milta to ,hindi
10574,it's always in ,english
10575,adugujadalalo nadustu tama ,telugu
10576,maiya mantapattin utpuram ,tamil
10577,nirakk vardhiccatan itin ,malayalam
10578,himadalli dodda aksaragalalli ,kannada
10579,realise there's a ,hindi
10580,a way aspirational ,english
10581,iravai rendava janmadinaniki ,telugu
10582,vankala kavarnar stanli ,tamil
10583,karanam. i pravarttanannalellam ,malayalam
10584,bareyuvudannu nodabahudu manege ,kannada
10585,big gap in ,hindi
10586,also you're the ,english
10587,munde rendu odi ,telugu
10588,jaksanai kolaiceyya muyarcittar. ,tamil
10589,"avasanippikkan, samuhattil ayavullavarayirikkan ",malayalam
10590,svagata hyari navu ,kannada
10591,the market which ,hindi
10592,first one first ,english
10593,sencarilu sadhincina mudava ,telugu
10594,cittakan ayutap parippu ,tamil
10595,strikalkk svayam tirumanannaletukkanulla ,malayalam
10596,nim'mannu pritisutteve syancej ,kannada
10597,the youth wants ,hindi
10598,of the contemporary ,english
10599,bharatiyudu ayyadu. ayinappatiki ,telugu
10600,valakkait totarntu curya ,tamil
10601,sakti avasyaman. intyayile ,malayalam
10602,halliyinda ellaru alliye ,kannada
10603,jab hum ne ,hindi
10604,telugu heroes to ,english
10605,srilankato jarigina phainal ,telugu
10606,cen tukkilitappattar marravarkal ,tamil
10607,strikale saktikarikkunnatinulla pradhana ,malayalam
10608,"iddaru, hyari manege ",kannada
10609,kab chalu kari ,hindi
10610,actually say you ,english
10611,lo atanu kevalam ,telugu
10612,antaman cellular ciraiyil ,tamil
10613,"kes garhika pidanaman, ",malayalam
10614,hintirugi svagatisidaru idarinda ,kannada
10615,thi tab india ,hindi
10616,want to be ,english
10617,rendu parugulu matrame ,telugu
10618,ayul kaitikalaka anuppivaikkappattanar. ,tamil
10619,itin karanam penkuttiyute ,malayalam
10620,"hyarige santosavayitu, ellaru ",kannada
10621,mein boy brand ,hindi
10622,here because when ,english
10623,cesadu. myac lo ,telugu
10624,vankala tannarvalarkal  ,tamil
10625,"matapitakkalute tirumanannalan. vivahasesam, ",malayalam
10626,sentar cappale tattidaru ,kannada
10627,nee tha jo ,hindi
10628,i interviewed mahesh ,english
10629,indiya aravai parugulake ,telugu
10630,il ceyalpatat totankinar ,tamil
10631,valiyearu vibhagam garhika ,malayalam
10632,hyari madabahudittu od'̔ihoguvudu ,kannada
10633,cabbage tata it ,hindi
10634,babu he was ,english
10635,aidu viketlu kolpoyi ,telugu
10636,am antu ticampar ,tamil
10637,"pidanam, bharttavil ninnulla ",malayalam
10638,dodda tappu adare ,kannada
10639,was all old ,hindi
10640,very clear he ,english
10641,cittacivaraku nalugu viketla ,telugu
10642, il katciyaic ,tamil
10643,"pidanam, vaikarika pidanam ",malayalam
10644,adu yarondigadaru mattu ,kannada
10645,skool retail distributors ,hindi
10646,doesn't want to ,english
10647,tedato parajayam palaindi. ,telugu
10648,cernta pinay pacu ,tamil
10649,enniva neritunnu. strikal ,malayalam
10650,nim'mondige matanadi uttaravalla ,kannada
10651,and wholesalers distributing ,hindi
10652,do it when ,english
10653,jun lo srilanka ,telugu
10654,patal kupta tines ,tamil
10655,"samuhamanusaricc bharttavinetire sansarikkarut, ",malayalam
10656,ninagagi samayaviruvavarannu mattu ,kannada
10657,all around india ,hindi
10658,i interviewed vijay ,english
10659,jimbabvelato jimbabvelo jarigina ,telugu
10660,kupta enra muvar ,tamil
10661,pidanam sahikkanam samuhattil ,malayalam
10662,nijavagiyu kalajivahisuvavarannu huduki ,kannada
10663,and selling online ,hindi
10664,devarakonda he said ,english
10665,mukkonapu siris nundi ,telugu
10666,kolkatta talaimaic ceyalakattin ,tamil
10667,ayavullavarayirikkan svayam tirumanannal ,malayalam
10668,merri kris‌mas merri ,kannada
10669,i have a ,hindi
10670,i'll never do ,english
10671,migilina pramukha atagallu ,telugu
10672,eluttalar kattitattirkul nulaintu ,tamil
10673,etukkan strikalkk avasyamaya ,malayalam
10674,kris‌mas sreni merri ,kannada
10675,box for everyone ,hindi
10676,a straight up ,english
10677,andaru tappukovatanto atanu ,telugu
10678,ciraikalukkana inspektar jenarala ,tamil
10679,pravarttanannal avasyaman. intyayile ,malayalam
10680,kris‌mas hyari navellaru ,kannada
10681,wow so krishna ,hindi
10682,hindi film it ,english
10683,bharata jattuku upa ,telugu
10684,karnal en.es.cimsanai kolai ,tamil
10685,strikale saktikarikkunnatinulla pradhana ,malayalam
10686,nimmannu pritisutteve yavagalu ,kannada
10687,reshma tiwari nice ,hindi
10688,has to be ,english
10689,sarathiga niyamincabaddadu.prastuta odi ,telugu
10690,ceytanar. am antu ,tamil
10691,"kes garhika pidanaman, ",malayalam
10692,santosavagiri iga olage ,kannada
10693,packaging thank you ,hindi
10694,something that works ,english
10695,lo atanu modati ,telugu
10696,marccil lantanil vaittu ,tamil
10697,itin karanam penkuttiyute ,malayalam
10698,hogi kelavu kyaret‌galannu ,kannada
10699,definitely nice thank ,hindi
10700,in both telugu ,english
10701,uttama byats man ,telugu
10702,jaliyanvala pak patukolaikku ,tamil
10703,"matapitakkalute tirumanannalan. vivahasesam, ",malayalam
10704,tegedukondu hogona mattu ,kannada
10705,you so up ,hindi
10706,and hindi so ,english
10707,kuda. ḍe/nait pagalu/ratri ,telugu
10708,mulu poruppana maikkel ,tamil
10709,valiyearu vibhagam garhika ,malayalam
10710,hyarige dodda mugu ,kannada
10711,ceos business chalaye ,hindi
10712,you're the first ,english
10713,myac lalo bharatiya ,telugu
10714,o tayarai uttam ,tamil
10715,"pidanam, bharttavil ninnulla ",malayalam
10716,nidona nanu nanna ,kannada
10717,yes yeah chashma ,hindi
10718,one was very ,english
10719,byats men andari ,telugu
10720,cin cuttar. iruppinum ,tamil
10721,"pidanam, vaikarika pidanam ",malayalam
10722,snehitarellarannu karedu atavadalu ,kannada
10723,great all around ,hindi
10724,enthusiastically embracing this ,english
10725,kanna atanu atyadhika ,telugu
10726, kalin pirpakutiyil ,tamil
10727,enniva neritunnu. strikal ,malayalam
10728,mattu heluttene hyari ,kannada
10729,are you china ,hindi
10730,each to their ,english
10731,sarasari kaligi unnadu. ,telugu
10732,araciyal katcikal marattotankukaiyil ,tamil
10733,"samuhamanusaricc bharttavinetire sansarikkarut, ",malayalam
10734,kya gud‌nait tophugagi ,kannada
10735,correct erkis puri ,hindi
10736,own i mean ,english
10737,prapanca kap  ,telugu
10738,maiyanirotta araciyal talaivarkal ,tamil
10739,avarute pidanannal sahikkanam. ,malayalam
10740,avarellarannu himamanavanannu heccu ,kannada
10741,category about 25 ,hindi
10742,everybody has got ,english
10743, prapanca kap ,telugu
10744,pirittisar alitta cila ,tamil
10745,samuhattil strikalkk nere ,malayalam
10746,snehitarannagi madalu avaru ,kannada
10747,to 30% x ,hindi
10748,their own choice ,english
10749,lo banglades to ,telugu
10750,tervukalai paricilanai ceyya ,tamil
10751,natakkunna ella niyamavirud'dha ,malayalam
10752,a samayadalli avaru ,kannada
10753,wet shirt please ,hindi
10754,we have to ,english
10755,adina prarambha myac ,telugu
10756,munvantatu marru  ,tamil
10757,pravarttanannalum kanakkiletutt intyan ,malayalam
10758,"ekangi dampatigalannu vasisuttiddaru, ",kannada
10759,aap ka sabse ,hindi
10760,respect everybody's choice ,english
10761,lo kohli vanda ,telugu
10762,matavata araciyal ceyalpattirku ,tamil
10763,sarkkar a vibhagattilulla ,malayalam
10764,avaru maguvannu hondalu ,kannada
10765,the product i ,hindi
10766,i love hindi ,english
10767,parugulu sencari cesadu. ,telugu
10768,vantatu akiyavarral puratcikara ,tamil
10769,strikale tirumanannaletukkanum pintutaranum ,malayalam
10770,matra bayasuttare avaru ,kannada
10771,said sweatshirts no ,hindi
10772,film so i ,english
10773,tana urivadaina virendar ,telugu
10774,ceyalpatukal patippatiyaka kuraiyat ,tamil
10775,saktikarikkanam. stri saktikarana ,malayalam
10776,maneya himbhagadalli tam ,kannada
10777,caps caps accounts ,hindi
10778,absolutely wouldn't mind ,english
10779,sehvagto kalisi atanu ,telugu
10780,totankina. katanatakala puratciyalarkal ,tamil
10781,pad'dhatikal stri-sisu vikasana ,malayalam
10782,made ada ondu ,kannada
10783,for about 40% ,hindi
10784,doing a filmein ,english
10785, parugula bhagasvamyanni ,telugu
10786,palarum intiya teciya ,tamil
10787,mantralayattinum samuhika niti ,malayalam
10788,sanna maneyalli vasisuttiddaru. ,kannada
10789,of 30% yes ,hindi
10790,do you know ,english
10791,kuda kaligi unnadu. ,telugu
10792,kankiras marrum marra ,tamil
10793,saktikarana mantralayattinu kililum ,malayalam
10794,ondu bhavyavada udyanavannu ,kannada
10795,open cabs mia ,hindi
10796,in in state ,english
10797,atanu sures raina ,telugu
10798,katcikalil kurippaka kampyunist ,tamil
10799,pravarttikkunnatinal. stri saktikarana ,malayalam
10800,nodabahudada i udyanavu ,kannada
10801,kaajoo banmankhi jo ,hindi
10802,hindi film why ,english
10803,kanna mundu bariloki ,telugu
10804,katciyil cerntu maiyanirotta ,tamil
10805,velluvilikal enna nilayil ,malayalam
10806,tumba sundaravada huvugalu ,kannada
10807,brand sarb street ,hindi
10808,not i mean ,english
10809,digataniki empikayyadumariyu prapanca ,telugu
10810,araciyalil inaintanar atecamayam ,tamil
10811,sarkkar cila stri ,malayalam
10812,"mattu gidamulikegalinda tumbittu, ",kannada
10813,wear brands in ,hindi
10814,why not i ,english
10815,kap lo adina ,telugu
10816,pala poralikalum nattin ,tamil
10817,saktikarana kampanikale keantuvarukayum ,malayalam
10818,yaru udyanavannu pravesisalu ,kannada
10819,market me aapki ,hindi
10820,don't see a ,english
10821,modati sare vanda ,telugu
10822,palveru ciraikalil ataittuvaikkappattiruntanar.natu ,tamil
10823,kampanikalkk laksyannal untakkukayum ,malayalam
10824,dhairya madalilla ekendare ,kannada
10825,brand make a ,hindi
10826,reason why you ,english
10827,parugulu cesina modati ,telugu
10828,muluvatilum irunta intiyarkal ,tamil
10829,"venam. strisaktikarana kampey‌nukal, ",malayalam
10830,adu yava hesarina ,kannada
10831,difference essay products ,hindi
10832,should hold back ,english
10833,bharatiyudu ayyadu. kani ,telugu
10834,irantam ulakapporil pirintukitantanar ,tamil
10835,"dreayingukal, peasrrarukal, sanvadannal, ",malayalam
10836,"tandakke seride, avalu ",kannada
10837,create karta jo ,hindi
10838,because its happen ,english
10839,daksina aphrika ingland ,telugu
10840,viktar hop linlitko ,tamil
10841,vanita saktikarana gruppukal ,malayalam
10842,ondu dina avalannu ,kannada
10843,nasib akshay dekhte ,hindi
10844,because they do ,english
10845,astreliyalato indiya adina ,telugu
10846,irantam markyu|linlitko intiyap ,tamil
10847,sthapikkal ennivayilute gramannalile ,malayalam
10848,padedukondalu a mahile ,kannada
10849,but what functionality ,hindi
10850,great work as ,english
10851,mukhyamaina myac lalo ,telugu
10852,piratinitikalai alocikkamaleye necanatukal ,tamil
10853,stri saktikaranattekkuricc alukal ,malayalam
10854,salad priya pati ,kannada
10855,we are durable ,hindi
10856,well of course ,english
10857,kohli ekkuva parugulu ,telugu
10858,kuttuppataiyinarin aniyil intiya ,tamil
10859,"beadhavanmarayirikkanam, stri saktikaranattekkuricculla ",malayalam
10860,madalu balasuva rampiyan ,kannada
10861,in local market ,hindi
10862,no of course ,english
10863,sadhincagalagalekapoyadu. vanda kyac‌la ,telugu
10864,iruppataka arivittar. linlitkovin ,tamil
10865,"upan'yasattinre samapanam, orea ",malayalam
10866,emba sasyavannu nodidalu ,kannada
10867,target market or ,hindi
10868,but one reason ,english
10869,ghanata janavari  ,telugu
10870,ceyalpattirku etirppaka mulu ,tamil
10871,striyum samuhattil svatantryatteate ,malayalam
10872,a gidadinda salad ,kannada
10873,hamara target market ,hindi
10874,could just be ,english
10875,na jarigina daksinaphrika ,telugu
10876,kankiras talaimaiyum ullur ,tamil
10877,svatantramayi jivikkan saktikarikkappetanam ,malayalam
10878,madabekendu nanage balavada ,kannada
10879,coffee alag hum ,hindi
10880,that that you're ,english
10881,toli innings‌ sandarbhanga ,telugu
10882,aracu capaikaliliruntu rajinama ,tamil
10883,ennatan. strikale saktikarikkunnatilute ,malayalam
10884,aseyide oh adare ,kannada
10885,log quirky designs ,hindi
10886,a massive star ,english
10887,mahmad sami vesina ,telugu
10888,ceytana. iruppinum palarum ,tamil
10889,"niravadhi nettannal untakum, ",malayalam
10890,adu dusta matagatige ,kannada
10891,this is drip ,hindi
10892,right and then ,english
10893,va ovar‌ rendo ,telugu
10894,pirittisarin por muyarcikalukku ,tamil
10895,strikaleatulla kurrakrtyannalute nirakk ,malayalam
10896,seride dayavittu enadaru ,kannada
10897,i would say ,hindi
10898,you have to ,english
10899,bantiki temba bavuma ,telugu
10900,ataravalikkave virumpinar unmaiyileye ,tamil
10901,"kurayum, strikalkk kututal ",malayalam
10902,madi nanu nijavagiyu ,kannada
10903,this is this ,hindi
10904,come to mumbai ,english
10905,iccina aut‌said‌ edj‌ ,telugu
10906,porinpotu  perkalutan ,tamil
10907,"svatantryam labhikkum, linga ",malayalam
10908,a rampiyan‌galannu idalu ,kannada
10909,trip is like ,hindi
10910,and innocence win ,english
10911,kyac‌nu ento cakacakyanga ,telugu
10912,pirittaniya intiya ranuvam ,tamil
10913,vivecanam illatakkunnu. vijayattilekkum ,malayalam
10914,bayasuttene oke dinnar ,kannada
10915,drip wow i'm ,hindi
10916,over a new ,english
10917,kyac‌ andukunna virat‌ ,telugu
10918,mikapperiya tannarvap pataikalul ,tamil
10919,suraksitamaya samuhattilekkum rajyattinre ,malayalam
10920,nanu adannu madhyaratriyalli ,kannada
10921,saying like that ,hindi
10922,audience that requires ,english
10923,kohliki testullo vando ,telugu
10924,onraka iruntatu. kurippaka ,tamil
10925,vikasanattilekkum patikal tutannan ,malayalam
10926,ninagagi padeyalu prayatnisuttene ,kannada
10927,bulla ki main ,hindi
10928,you know courage ,english
10929,kyac‌ga namodayindi. vyaktigata ,telugu
10930,pirittan porinpotu tanatu ,tamil
